NAME_REPO,URL_REPO,DATE_REPO,STARS_REPO,RELEASES_REPO,CBO_TOTAL,DIT_TOTAL,LCOM_TOTAL,LOC_TOTAL,CLASS_QUANT
Snailclimb/JavaGuide,git@github.com:Snailclimb/JavaGuide.git,2018-05-07T13:27:00Z,126822,0,0,0,0,0,0
iluwatar/java-design-patterns,git@github.com:iluwatar/java-design-patterns.git,2014-08-09T16:45:18Z,76545,0,5562,2020,3569,32463,1676
MisterBooo/LeetCodeAnimation,git@github.com:MisterBooo/LeetCodeAnimation.git,2018-12-06T08:01:22Z,71314,0,5,4,0,69,4
doocs/advanced-java,git@github.com:doocs/advanced-java.git,2018-10-06T11:38:30Z,65256,1,0,0,0,0,0
spring-projects/spring-boot,git@github.com:spring-projects/spring-boot.git,2012-10-19T15:02:57Z,63008,145,57123,14153,127403,309925,10924
elastic/elasticsearch,git@github.com:elastic/elasticsearch.git,2010-02-08T13:20:56Z,60983,96,213677,50311,1070849,1829815,27218
macrozheng/mall,git@github.com:macrozheng/mall.git,2018-04-04T01:11:44Z,60791,2,2911,936,844134,100633,754
kdn251/interviews,git@github.com:kdn251/interviews.git,2017-02-14T18:19:25Z,58099,0,325,260,76,5634,257
spring-projects/spring-framework,git@github.com:spring-projects/spring-framework.git,2010-12-08T04:04:45Z,49010,234,79579,22855,480296,638506,15244
GrowingGit/GitHub-Chinese-Top-Charts,git@github.com:GrowingGit/GitHub-Chinese-Top-Charts.git,2019-09-05T03:01:56Z,47741,0,0,1,0,5,1
TheAlgorithms/Java,git@github.com:TheAlgorithms/Java.git,2016-07-16T10:21:02Z,47519,0,1086,646,2954,25011,620
ReactiveX/RxJava,git@github.com:ReactiveX/RxJava.git,2013-01-08T20:11:48Z,46396,229,30436,15905,555560,369316,11857
google/guava,git@github.com:google/guava.git,2014-05-29T16:23:17Z,45596,35,25148,11896,304793,268590,6501
square/retrofit,git@github.com:square/retrofit.git,2010-09-06T21:39:43Z,40462,0,4507,1290,17785,26666,1090
apache/dubbo,git@github.com:apache/dubbo.git,2012-06-19T07:56:02Z,37814,54,18922,4746,159312,177667,3719
PhilJay/MPAndroidChart,git@github.com:PhilJay/MPAndroidChart.git,2014-04-25T14:29:47Z,35516,44,2706,606,27856,21111,306
NationalSecurityAgency/ghidra,git@github.com:NationalSecurityAgency/ghidra.git,2019-03-01T03:27:48Z,34064,22,0,0,0,0,-1
airbnb/lottie-android,git@github.com:airbnb/lottie-android.git,2016-10-06T22:42:42Z,33159,43,1825,348,7287,15560,267
bumptech/glide,git@github.com:bumptech/glide.git,2013-07-08T22:52:33Z,32932,39,8664,1809,28334,57569,1460
eugenp/tutorials,git@github.com:eugenp/tutorials.git,2013-04-29T18:26:36Z,31803,0,66203,18118,105974,362342,16009
