nameWithOwner,sshUrl,stargazers.totalCount,releases.totalCount,createdAt
Snailclimb/JavaGuide,git@github.com:Snailclimb/JavaGuide.git,126822,0,2018-05-07T13:27:00Z
iluwatar/java-design-patterns,git@github.com:iluwatar/java-design-patterns.git,76545,0,2014-08-09T16:45:18Z
MisterBooo/LeetCodeAnimation,git@github.com:MisterBooo/LeetCodeAnimation.git,71314,0,2018-12-06T08:01:22Z
doocs/advanced-java,git@github.com:doocs/advanced-java.git,65256,1,2018-10-06T11:38:30Z
spring-projects/spring-boot,git@github.com:spring-projects/spring-boot.git,63008,145,2012-10-19T15:02:57Z
elastic/elasticsearch,git@github.com:elastic/elasticsearch.git,60983,96,2010-02-08T13:20:56Z
macrozheng/mall,git@github.com:macrozheng/mall.git,60791,2,2018-04-04T01:11:44Z
kdn251/interviews,git@github.com:kdn251/interviews.git,58099,0,2017-02-14T18:19:25Z
spring-projects/spring-framework,git@github.com:spring-projects/spring-framework.git,49010,234,2010-12-08T04:04:45Z
GrowingGit/GitHub-Chinese-Top-Charts,git@github.com:GrowingGit/GitHub-Chinese-Top-Charts.git,47741,0,2019-09-05T03:01:56Z
TheAlgorithms/Java,git@github.com:TheAlgorithms/Java.git,47519,0,2016-07-16T10:21:02Z
ReactiveX/RxJava,git@github.com:ReactiveX/RxJava.git,46396,229,2013-01-08T20:11:48Z
google/guava,git@github.com:google/guava.git,45596,35,2014-05-29T16:23:17Z
square/retrofit,git@github.com:square/retrofit.git,40462,0,2010-09-06T21:39:43Z
apache/dubbo,git@github.com:apache/dubbo.git,37814,54,2012-06-19T07:56:02Z
PhilJay/MPAndroidChart,git@github.com:PhilJay/MPAndroidChart.git,35516,44,2014-04-25T14:29:47Z
NationalSecurityAgency/ghidra,git@github.com:NationalSecurityAgency/ghidra.git,34064,22,2019-03-01T03:27:48Z
airbnb/lottie-android,git@github.com:airbnb/lottie-android.git,33159,43,2016-10-06T22:42:42Z
bumptech/glide,git@github.com:bumptech/glide.git,32932,39,2013-07-08T22:52:33Z
eugenp/tutorials,git@github.com:eugenp/tutorials.git,31803,0,2013-04-29T18:26:36Z
skylot/jadx,git@github.com:skylot/jadx.git,31464,25,2013-03-18T17:08:21Z
geekxh/hello-algorithm,git@github.com:geekxh/hello-algorithm.git,31308,0,2020-05-29T05:47:09Z
Blankj/AndroidUtilCode,git@github.com:Blankj/AndroidUtilCode.git,31301,116,2016-07-30T18:18:32Z
jeecgboot/jeecg-boot,git@github.com:jeecgboot/jeecg-boot.git,30682,21,2018-11-26T10:40:00Z
alibaba/arthas,git@github.com:alibaba/arthas.git,30371,45,2018-08-29T17:15:57Z
zxing/zxing,git@github.com:zxing/zxing.git,30033,28,2011-10-12T14:07:27Z
netty/netty,git@github.com:netty/netty.git,29856,0,2010-11-09T09:22:21Z
dbeaver/dbeaver,git@github.com:dbeaver/dbeaver.git,28118,158,2015-10-21T08:26:28Z
ityouknow/spring-boot-examples,git@github.com:ityouknow/spring-boot-examples.git,27939,0,2016-11-05T05:32:33Z
apolloconfig/apollo,git@github.com:apolloconfig/apollo.git,27232,37,2016-03-04T10:24:23Z
crossoverJie/JCSprout,git@github.com:crossoverJie/JCSprout.git,26796,0,2017-12-17T09:06:50Z
xkcoding/spring-boot-demo,git@github.com:xkcoding/spring-boot-demo.git,26501,0,2017-11-10T06:27:29Z
alibaba/druid,git@github.com:alibaba/druid.git,25976,44,2011-11-03T05:12:51Z
JakeWharton/butterknife,git@github.com:JakeWharton/butterknife.git,25687,0,2013-03-05T08:18:59Z
qiurunze123/miaosha,git@github.com:qiurunze123/miaosha.git,25225,0,2018-09-14T04:36:24Z
proxyee-down-org/proxyee-down,git@github.com:proxyee-down-org/proxyee-down.git,25168,49,2017-10-25T10:07:27Z
alibaba/fastjson,git@github.com:alibaba/fastjson.git,24945,84,2011-11-03T06:58:52Z
alibaba/easyexcel,git@github.com:alibaba/easyexcel.git,24910,1,2018-02-06T03:14:08Z
lenve/vhr,git@github.com:lenve/vhr.git,24773,0,2018-01-04T08:57:51Z
SeleniumHQ/selenium,git@github.com:SeleniumHQ/selenium.git,24485,76,2013-01-14T21:40:56Z
wuyouzhuguli/SpringAll,git@github.com:wuyouzhuguli/SpringAll.git,24170,0,2018-05-02T02:48:44Z
greenrobot/EventBus,git@github.com:greenrobot/EventBus.git,24080,7,2012-07-16T16:55:40Z
alibaba/canal,git@github.com:alibaba/canal.git,23976,24,2013-01-13T10:59:52Z
dromara/hutool,git@github.com:dromara/hutool.git,23804,119,2014-04-13T07:23:51Z
alibaba/nacos,git@github.com:alibaba/nacos.git,23797,47,2018-06-15T06:49:27Z
scwang90/SmartRefreshLayout,git@github.com:scwang90/SmartRefreshLayout.git,23776,10,2017-06-02T09:52:50Z
hollischuang/toBeTopJavaer,git@github.com:hollischuang/toBeTopJavaer.git,23769,0,2018-10-25T09:54:54Z
alibaba/spring-cloud-alibaba,git@github.com:alibaba/spring-cloud-alibaba.git,23511,28,2017-12-01T20:49:15Z
halo-dev/halo,git@github.com:halo-dev/halo.git,23434,87,2018-03-21T12:56:52Z
CymChad/BaseRecyclerViewAdapterHelper,git@github.com:CymChad/BaseRecyclerViewAdapterHelper.git,23082,193,2016-04-10T07:40:11Z
apache/kafka,git@github.com:apache/kafka.git,22986,0,2011-08-15T18:06:16Z
Netflix/Hystrix,git@github.com:Netflix/Hystrix.git,22905,79,2012-11-19T20:14:46Z
seata/seata,git@github.com:seata/seata.git,22746,33,2018-12-28T08:37:22Z
signalapp/Signal-Android,git@github.com:signalapp/Signal-Android.git,22737,0,2011-12-15T20:01:12Z
xuxueli/xxl-job,git@github.com:xuxueli/xxl-job.git,22401,31,2015-11-28T12:59:34Z
google/gson,git@github.com:google/gson.git,21320,4,2015-03-19T18:21:20Z
TeamNewPipe/NewPipe,git@github.com:TeamNewPipe/NewPipe.git,20745,121,2015-09-03T23:39:26Z
DrKLO/Telegram,git@github.com:DrKLO/Telegram.git,20649,75,2013-10-25T14:08:10Z
libgdx/libgdx,git@github.com:libgdx/libgdx.git,20404,9,2012-08-10T19:34:38Z
apache/skywalking,git@github.com:apache/skywalking.git,20133,53,2015-11-07T03:30:36Z
alibaba/Sentinel,git@github.com:alibaba/Sentinel.git,19776,21,2018-04-04T06:37:33Z
google/ExoPlayer,git@github.com:google/ExoPlayer.git,19758,20,2014-06-13T21:19:18Z
redisson/redisson,git@github.com:redisson/redisson.git,19705,112,2014-01-11T14:06:25Z
ReactiveX/RxAndroid,git@github.com:ReactiveX/RxAndroid.git,19690,18,2014-08-19T03:46:38Z
apache/flink,git@github.com:apache/flink.git,19658,0,2014-06-07T07:00:10Z
jenkinsci/jenkins,git@github.com:jenkinsci/jenkins.git,19400,202,2010-11-22T21:21:23Z
bazelbuild/bazel,git@github.com:bazelbuild/bazel.git,19325,170,2014-06-12T16:00:38Z
didi/DoKit,git@github.com:didi/DoKit.git,18987,10,2018-08-14T10:32:07Z
elunez/eladmin,git@github.com:elunez/eladmin.git,18658,0,2018-12-14T08:54:24Z
Baseflow/PhotoView,git@github.com:Baseflow/PhotoView.git,18324,5,2012-07-17T16:39:00Z
apache/rocketmq,git@github.com:apache/rocketmq.git,17997,7,2016-11-30T08:00:08Z
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,git@github.com:EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,17895,0,2012-11-24T00:14:41Z
CarGuo/GSYVideoPlayer,git@github.com:CarGuo/GSYVideoPlayer.git,17754,40,2016-11-13T12:34:31Z
mybatis/mybatis-3,git@github.com:mybatis/mybatis-3.git,17642,37,2013-02-14T19:03:32Z
oracle/graal,git@github.com:oracle/graal.git,17405,32,2016-01-14T17:11:35Z
linlinjava/litemall,git@github.com:linlinjava/litemall.git,17342,8,2018-03-22T16:42:30Z
apache/shardingsphere,git@github.com:apache/shardingsphere.git,17245,48,2016-01-18T12:49:26Z
brettwooldridge/HikariCP,git@github.com:brettwooldridge/HikariCP.git,17201,0,2013-10-08T05:43:03Z
dianping/cat,git@github.com:dianping/cat.git,17124,3,2012-12-05T02:31:48Z
doocs/leetcode,git@github.com:doocs/leetcode.git,16926,19,2018-09-16T14:03:03Z
facebook/fresco,git@github.com:facebook/fresco.git,16845,45,2015-03-02T09:58:04Z
forezp/SpringCloudLearning,git@github.com:forezp/SpringCloudLearning.git,16844,0,2017-04-08T10:06:56Z
nostra13/Android-Universal-Image-Loader,git@github.com:nostra13/Android-Universal-Image-Loader.git,16795,0,2011-11-27T18:48:23Z
Tencent/tinker,git@github.com:Tencent/tinker.git,16514,50,2016-09-06T06:57:52Z
shuzheng/zheng,git@github.com:shuzheng/zheng.git,16340,0,2016-10-04T10:07:06Z
winterbe/java8-tutorial,git@github.com:winterbe/java8-tutorial.git,15910,0,2014-03-16T17:25:43Z
Anuken/Mindustry,git@github.com:Anuken/Mindustry.git,15838,140,2017-04-30T01:24:29Z
openzipkin/zipkin,git@github.com:openzipkin/zipkin.git,15630,67,2012-06-06T18:26:16Z
termux/termux-app,git@github.com:termux/termux-app.git,15273,89,2015-10-23T09:42:46Z
android10/Android-CleanArchitecture,git@github.com:android10/Android-CleanArchitecture.git,15191,0,2014-08-19T14:09:26Z
LMAX-Exchange/disruptor,git@github.com:LMAX-Exchange/disruptor.git,15153,13,2012-09-21T13:42:24Z
JeffLi1993/springboot-learning-example,git@github.com:JeffLi1993/springboot-learning-example.git,15041,0,2017-02-06T07:02:25Z
YunaiV/SpringBoot-Labs,git@github.com:YunaiV/SpringBoot-Labs.git,14989,0,2018-09-12T14:51:46Z
iBotPeaches/Apktool,git@github.com:iBotPeaches/Apktool.git,14745,15,2012-03-19T17:46:53Z
dyc87112/SpringBoot-Learning,git@github.com:dyc87112/SpringBoot-Learning.git,14663,0,2016-08-21T03:39:06Z
hdodenhof/CircleImageView,git@github.com:hdodenhof/CircleImageView.git,14274,0,2014-01-17T16:44:46Z
medcl/elasticsearch-analysis-ik,git@github.com:medcl/elasticsearch-analysis-ik.git,14244,176,2011-12-16T09:01:45Z
openjdk/jdk,git@github.com:openjdk/jdk.git,13984,0,2018-09-17T12:29:20Z
alibaba/ARouter,git@github.com:alibaba/ARouter.git,13928,16,2016-12-14T01:27:49Z
material-components/material-components-android,git@github.com:material-components/material-components-android.git,13915,59,2016-12-05T16:11:29Z
prestodb/presto,git@github.com:prestodb/presto.git,13818,0,2012-08-09T01:03:37Z
Tencent/QMUI_Android,git@github.com:Tencent/QMUI_Android.git,13767,35,2017-04-21T10:03:18Z
Tencent/APIJSON,git@github.com:Tencent/APIJSON.git,13716,89,2016-11-21T12:03:29Z
justauth/JustAuth,git@github.com:justauth/JustAuth.git,13707,45,2019-01-31T09:42:20Z
android-hacker/VirtualXposed,git@github.com:android-hacker/VirtualXposed.git,13623,50,2017-12-01T09:00:58Z
lgvalle/Material-Animations,git@github.com:lgvalle/Material-Animations.git,13558,0,2015-03-08T20:54:00Z
baomidou/mybatis-plus,git@github.com:baomidou/mybatis-plus.git,13444,22,2016-08-18T10:06:53Z
keycloak/keycloak,git@github.com:keycloak/keycloak.git,13392,24,2013-07-02T13:38:51Z
orhanobut/logger,git@github.com:orhanobut/logger.git,13383,16,2015-03-20T22:30:12Z
williamfiset/Algorithms,git@github.com:williamfiset/Algorithms.git,13362,0,2017-03-18T02:50:46Z
OpenAPITools/openapi-generator,git@github.com:OpenAPITools/openapi-generator.git,13323,48,2018-05-12T09:57:56Z
mockito/mockito,git@github.com:mockito/mockito.git,13260,190,2012-10-13T20:27:12Z
Konloch/bytecode-viewer,git@github.com:Konloch/bytecode-viewer.git,13229,58,2014-10-14T10:26:46Z
Bigkoo/Android-PickerView,git@github.com:Bigkoo/Android-PickerView.git,13174,0,2014-12-28T01:46:38Z
eclipse-vertx/vert.x,git@github.com:eclipse-vertx/vert.x.git,13124,0,2011-06-17T14:54:55Z
arduino/Arduino,git@github.com:arduino/Arduino.git,13119,37,2010-09-17T19:10:36Z
Curzibn/Luban,git@github.com:Curzibn/Luban.git,13039,6,2016-07-24T07:43:21Z
apache/hadoop,git@github.com:apache/hadoop.git,12896,0,2014-08-28T07:00:08Z
antlr/antlr4,git@github.com:antlr/antlr4.git,12856,25,2010-02-04T01:36:28Z
zhisheng17/flink-learning,git@github.com:zhisheng17/flink-learning.git,12660,0,2019-01-01T07:38:28Z
deeplearning4j/deeplearning4j,git@github.com:deeplearning4j/deeplearning4j.git,12599,0,2013-11-27T02:03:28Z
JessYanCoding/AndroidAutoSize,git@github.com:JessYanCoding/AndroidAutoSize.git,12592,14,2018-08-17T09:04:19Z
facebook/stetho,git@github.com:facebook/stetho.git,12572,13,2015-01-22T22:34:10Z
greenrobot/greenDAO,git@github.com:greenrobot/greenDAO.git,12544,8,2011-10-22T16:15:14Z
pinpoint-apm/pinpoint,git@github.com:pinpoint-apm/pinpoint.git,12351,50,2014-10-20T09:27:22Z
zhihu/Matisse,git@github.com:zhihu/Matisse.git,12325,15,2017-04-13T01:31:05Z
heibaiying/BigData-Notes,git@github.com:heibaiying/BigData-Notes.git,12325,0,2019-03-10T01:40:01Z
thingsboard/thingsboard,git@github.com:thingsboard/thingsboard.git,12279,50,2016-12-01T09:33:30Z
daimajia/AndroidSwipeLayout,git@github.com:daimajia/AndroidSwipeLayout.git,12247,18,2014-08-25T04:09:33Z
daimajia/AndroidViewAnimations,git@github.com:daimajia/AndroidViewAnimations.git,12171,9,2014-06-23T03:53:13Z
ben-manes/caffeine,git@github.com:ben-manes/caffeine.git,12158,61,2014-12-13T08:45:11Z
Netflix/zuul,git@github.com:Netflix/zuul.git,12152,5,2013-03-13T18:53:57Z
youth5201314/banner,git@github.com:youth5201314/banner.git,12110,0,2016-04-22T05:50:25Z
GoogleContainerTools/jib,git@github.com:GoogleContainerTools/jib.git,12106,141,2018-01-22T18:30:43Z
apache/druid,git@github.com:apache/druid.git,11998,49,2012-10-23T19:08:07Z
seaswalker/spring-analysis,git@github.com:seaswalker/spring-analysis.git,11934,0,2016-09-09T07:46:32Z
alibaba/DataX,git@github.com:alibaba/DataX.git,11888,1,2018-01-18T10:09:47Z
lionsoul2014/ip2region,git@github.com:lionsoul2014/ip2region.git,11868,0,2015-11-02T00:43:13Z
hyb1996/Auto.js,git@github.com:hyb1996/Auto.js.git,11860,0,2017-01-27T01:01:16Z
LuckSiege/PictureSelector,git@github.com:LuckSiege/PictureSelector.git,11856,111,2017-01-04T07:47:39Z
sqshq/piggymetrics,git@github.com:sqshq/piggymetrics.git,11852,2,2015-03-29T17:56:31Z
Tencent/VasSonic,git@github.com:Tencent/VasSonic.git,11579,10,2017-08-01T08:35:13Z
java-decompiler/jd-gui,git@github.com:java-decompiler/jd-gui.git,11579,18,2015-03-25T05:28:41Z
apache/pulsar,git@github.com:apache/pulsar.git,11497,58,2016-06-28T07:00:03Z
Netflix/eureka,git@github.com:Netflix/eureka.git,11441,142,2012-07-26T22:23:07Z
projectlombok/lombok,git@github.com:projectlombok/lombok.git,11436,3,2009-06-08T19:46:41Z
google/guice,git@github.com:google/guice.git,11428,15,2014-05-28T23:18:53Z
pagehelper/Mybatis-PageHelper,git@github.com:pagehelper/Mybatis-PageHelper.git,11322,10,2014-06-09T15:32:30Z
macrozheng/mall-learning,git@github.com:macrozheng/mall-learning.git,11321,0,2019-04-12T13:20:31Z
realm/realm-java,git@github.com:realm/realm-java.git,11317,0,2012-04-20T09:18:42Z
Yalantis/uCrop,git@github.com:Yalantis/uCrop.git,11305,15,2016-01-05T13:41:06Z
androidannotations/androidannotations,git@github.com:androidannotations/androidannotations.git,11159,0,2012-01-06T08:48:03Z
jfeinstein10/SlidingMenu,git@github.com:jfeinstein10/SlidingMenu.git,11153,0,2012-06-30T05:14:23Z
codecentric/spring-boot-admin,git@github.com:codecentric/spring-boot-admin.git,11132,84,2014-07-25T11:39:13Z
permissions-dispatcher/PermissionsDispatcher,git@github.com:permissions-dispatcher/PermissionsDispatcher.git,11032,40,2015-08-15T21:41:05Z
doocs/source-code-hunter,git@github.com:doocs/source-code-hunter.git,10839,0,2019-10-28T01:35:10Z
alibaba/vlayout,git@github.com:alibaba/vlayout.git,10829,34,2017-02-27T08:11:47Z
apache/zookeeper,git@github.com:apache/zookeeper.git,10775,0,2009-03-27T15:41:56Z
frank-lam/fullstack-tutorial,git@github.com:frank-lam/fullstack-tutorial.git,10721,0,2018-04-13T01:50:10Z
H07000223/FlycoTabLayout,git@github.com:H07000223/FlycoTabLayout.git,10700,4,2015-11-09T01:53:19Z
android-async-http/android-async-http,git@github.com:android-async-http/android-async-http.git,10647,3,2011-02-20T03:25:07Z
redis/jedis,git@github.com:redis/jedis.git,10634,69,2010-06-11T13:04:43Z
