nameWithOwner,sshUrl,stargazers.totalCount,releases.totalCount,createdAt
Snailclimb/JavaGuide,git@github.com:Snailclimb/JavaGuide.git,126822,0,2018-05-07T13:27:00Z
iluwatar/java-design-patterns,git@github.com:iluwatar/java-design-patterns.git,76545,0,2014-08-09T16:45:18Z
MisterBooo/LeetCodeAnimation,git@github.com:MisterBooo/LeetCodeAnimation.git,71314,0,2018-12-06T08:01:22Z
doocs/advanced-java,git@github.com:doocs/advanced-java.git,65256,1,2018-10-06T11:38:30Z
spring-projects/spring-boot,git@github.com:spring-projects/spring-boot.git,63008,145,2012-10-19T15:02:57Z
elastic/elasticsearch,git@github.com:elastic/elasticsearch.git,60983,96,2010-02-08T13:20:56Z
macrozheng/mall,git@github.com:macrozheng/mall.git,60791,2,2018-04-04T01:11:44Z
kdn251/interviews,git@github.com:kdn251/interviews.git,58099,0,2017-02-14T18:19:25Z
spring-projects/spring-framework,git@github.com:spring-projects/spring-framework.git,49010,234,2010-12-08T04:04:45Z
GrowingGit/GitHub-Chinese-Top-Charts,git@github.com:GrowingGit/GitHub-Chinese-Top-Charts.git,47741,0,2019-09-05T03:01:56Z
TheAlgorithms/Java,git@github.com:TheAlgorithms/Java.git,47519,0,2016-07-16T10:21:02Z
ReactiveX/RxJava,git@github.com:ReactiveX/RxJava.git,46396,229,2013-01-08T20:11:48Z
google/guava,git@github.com:google/guava.git,45596,35,2014-05-29T16:23:17Z
square/retrofit,git@github.com:square/retrofit.git,40462,0,2010-09-06T21:39:43Z
apache/dubbo,git@github.com:apache/dubbo.git,37814,54,2012-06-19T07:56:02Z
PhilJay/MPAndroidChart,git@github.com:PhilJay/MPAndroidChart.git,35516,44,2014-04-25T14:29:47Z
NationalSecurityAgency/ghidra,git@github.com:NationalSecurityAgency/ghidra.git,34064,22,2019-03-01T03:27:48Z
airbnb/lottie-android,git@github.com:airbnb/lottie-android.git,33159,43,2016-10-06T22:42:42Z
bumptech/glide,git@github.com:bumptech/glide.git,32932,39,2013-07-08T22:52:33Z
eugenp/tutorials,git@github.com:eugenp/tutorials.git,31803,0,2013-04-29T18:26:36Z
