nameWithOwner,url,createdAt,stargazers.totalCount,prClosed.totalCount,prMerged.totalCount
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,355491,12579,18442
996icu/996.ICU,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,264235,868,1063
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,251927,2164,5120
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,235937,480,338
sindresorhus/awesome,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,222920,1203,593
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,215008,449,1048
public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,212307,912,1870
vuejs/vue,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,200050,960,1106
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,199977,79,193
facebook/react,https://github.com/facebook/react,2013-05-24T16:15:54Z,196132,3867,8581
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,168409,6453,15212
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,168194,71,95
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,160180,459,355
twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,159973,5963,7883
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,157597,159,375
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,152973,177,271
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,151119,3431,2720
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,146915,3844,1940
flutter/flutter,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,145767,10777,27733
vinta/awesome-python,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,144555,901,527
torvalds/linux,https://github.com/torvalds/linux,2011-09-04T22:48:12Z,139836,440,9
github/gitignore,https://github.com/github/gitignore,2010-11-08T20:17:14Z,139556,2242,1522
microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,137935,3266,12366
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,127938,238,726
airbnb/javascript,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,127873,537,781
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,126319,112,12
ossu/computer-science,https://github.com/ossu/computer-science,2014-05-04T00:18:39Z,125521,151,224
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,114136,2273,1575
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,111496,135,304
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,111041,182,209
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,105934,483,1975
facebook/react-native,https://github.com/facebook/react-native,2015-01-09T18:10:16Z,105288,10332,647
golang/go,https://github.com/golang/go,2014-08-19T04:33:40Z,104726,2318,1
electron/electron,https://github.com/electron/electron,2013-04-12T01:47:36Z,104105,2001,15820
30-seconds/30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,2017-11-29T17:35:03Z,103712,729,753
d3/d3,https://github.com/d3/d3,2010-09-27T17:22:42Z,103130,675,439
facebook/create-react-app,https://github.com/facebook/create-react-app,2016-07-17T14:55:11Z,97541,1750,1942
axios/axios,https://github.com/axios/axios,2014-08-18T22:30:27Z,96642,520,621
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,96117,144,280
vercel/next.js,https://github.com/vercel/next.js,2016-10-05T23:32:51Z,93884,2552,10216
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,92906,17624,52772
nodejs/node,https://github.com/nodejs/node,2014-11-26T19:57:11Z,90947,23162,4969
avelino/awesome-go,https://github.com/avelino/awesome-go,2014-07-06T13:42:15Z,89498,1109,2832
mrdoob/three.js,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,86063,3050,10067
denoland/deno,https://github.com/denoland/deno,2018-05-15T01:34:26Z,85842,1726,7073
microsoft/terminal,https://github.com/microsoft/terminal,2017-08-11T18:38:22Z,85627,350,2914
microsoft/TypeScript,https://github.com/microsoft/TypeScript,2014-06-17T15:28:39Z,85000,2704,12246
angular/angular,https://github.com/angular/angular,2014-09-18T16:12:01Z,84315,19011,3234
ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24T15:37:24Z,82241,2553,9416
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,82240,130,737
mui/material-ui,https://github.com/mui/material-ui,2014-08-18T19:11:54Z,82013,3096,14277
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,80366,71,122
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,2017-05-09T22:16:13Z,80321,667,2726
microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,80014,419,3475
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,79780,58,251
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,79223,112,179
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,78940,156,313
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,77498,414,883
animate-css/animate.css,https://github.com/animate-css/animate.css,2011-10-12T10:07:38Z,76021,424,313
tensorflow/models,https://github.com/tensorflow/models,2016-02-05T01:15:20Z,74541,1240,2253
storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18T04:23:44Z,74508,1794,7025
nvbn/thefuck,https://github.com/nvbn/thefuck,2015-04-08T15:08:04Z,74073,109,478
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,73500,94,148
rust-lang/rust,https://github.com/rust-lang/rust,2010-06-16T20:39:03Z,73149,13512,43153
huggingface/transformers,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,72282,1691,7564
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21T18:00:27Z,71594,235,61
laravel/laravel,https://github.com/laravel/laravel,2011-06-08T03:06:08Z,71202,2893,1455
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,70266,433,193
gothinkster/realworld,https://github.com/gothinkster/realworld,2016-02-26T20:49:53Z,69493,108,235
doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,67109,39,74
django/django,https://github.com/django/django,2012-04-28T02:47:18Z,66806,8270,7708
tonsky/FiraCode,https://github.com/tonsky/FiraCode,2014-11-11T19:32:38Z,66757,45,124
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,2015-10-20T00:16:14Z,66648,339,3354
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19T15:16:43Z,66522,5578,12275
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,2013-12-15T14:31:41Z,65021,79,406
opencv/opencv,https://github.com/opencv/opencv,2012-07-19T09:40:17Z,64280,2477,10797
moby/moby,https://github.com/moby/moby,2013-01-18T18:10:57Z,64251,4578,17659
typicode/json-server,https://github.com/typicode/json-server,2013-11-27T13:21:13Z,63789,144,100
