nameWithOwner,url,createdAt,stargazers.totalCount,prClosed.totalCount,prMerged.totalCount
mui/material-ui,https://github.com/mui/material-ui,2014-08-18T19:11:54Z,82011,3096,14277
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,80361,71,122
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,2017-05-09T22:16:13Z,80321,667,2726
microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,80011,419,3475
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,79778,58,251
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,79219,112,179
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,78939,156,313
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,77497,413,883
animate-css/animate.css,https://github.com/animate-css/animate.css,2011-10-12T10:07:38Z,76021,424,313
tensorflow/models,https://github.com/tensorflow/models,2016-02-05T01:15:20Z,74541,1240,2253
storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18T04:23:44Z,74508,1794,7025
nvbn/thefuck,https://github.com/nvbn/thefuck,2015-04-08T15:08:04Z,74073,109,478
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,73500,94,148
rust-lang/rust,https://github.com/rust-lang/rust,2010-06-16T20:39:03Z,73146,13511,43152
huggingface/transformers,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,72280,1690,7564
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21T18:00:27Z,71593,235,61
laravel/laravel,https://github.com/laravel/laravel,2011-06-08T03:06:08Z,71201,2893,1455
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,70265,433,193
gothinkster/realworld,https://github.com/gothinkster/realworld,2016-02-26T20:49:53Z,69492,108,235
doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,67108,39,74
django/django,https://github.com/django/django,2012-04-28T02:47:18Z,66805,8270,7708
tonsky/FiraCode,https://github.com/tonsky/FiraCode,2014-11-11T19:32:38Z,66755,45,124
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,2015-10-20T00:16:14Z,66645,339,3354
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19T15:16:43Z,66523,5578,12275
pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13T05:26:41Z,59605,51927,5205
angular/angular.js,https://github.com/angular/angular.js,2010-01-06T00:34:37Z,59369,7133,789
reduxjs/redux,https://github.com/reduxjs/redux,2015-05-29T23:53:15Z,58755,789,1551
neovim/neovim,https://github.com/neovim/neovim,2014-01-31T13:39:22Z,58682,3344,8151
resume/resume.github.com,https://github.com/resume/resume.github.com,2011-02-06T13:39:55Z,58621,84,84
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,2019-02-25T18:36:56Z,58608,79,149
expressjs/express,https://github.com/expressjs/express,2009-06-26T18:56:01Z,58602,810,258
atom/atom,https://github.com/atom/atom,2012-01-20T18:18:21Z,58596,1306,3932
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,58443,113,349
redis/redis,https://github.com/redis/redis,2009-03-21T22:32:25Z,57186,2040,3009
coder/code-server,https://github.com/coder/code-server,2019-02-27T16:50:41Z,57098,295,1177
socketio/socket.io,https://github.com/socketio/socket.io,2010-03-11T18:24:48Z,56843,403,410
jquery/jquery,https://github.com/jquery/jquery,2009-04-03T15:20:14Z,56835,2204,567
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26T15:52:15Z,56590,1304,4072
iptv-org/iptv,https://github.com/iptv-org/iptv,2018-11-14T22:00:57Z,56587,511,4715
keras-team/keras,https://github.com/keras-team/keras,2015-03-28T00:35:42Z,56401,2838,2711
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,56358,41,759
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,55494,190,427
home-assistant/core,https://github.com/home-assistant/core,2013-09-17T07:29:48Z,55312,6679,40069
ansible/ansible,https://github.com/ansible/ansible,2012-03-06T14:58:02Z,55053,11921,35795
lodash/lodash,https://github.com/lodash/lodash,2012-04-07T04:11:46Z,54611,569,573
neovim/neovim,https://github.com/neovim/neovim,2014-01-31T13:39:22Z,58682,3344,8151
resume/resume.github.com,https://github.com/resume/resume.github.com,2011-02-06T13:39:55Z,58621,84,84
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,2019-02-25T18:36:56Z,58608,79,149
expressjs/express,https://github.com/expressjs/express,2009-06-26T18:56:01Z,58602,810,258
atom/atom,https://github.com/atom/atom,2012-01-20T18:18:21Z,58596,1306,3932
