nameWithOwner,createdAt,updatedAt,releases.totalCount,primaryLanguage.name,pullRequests.totalCount,totalIssues.totalCount,closedIssues.totalCount
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2022-08-25T14:06:59Z,0,TypeScript,18107,16273,16137
996icu/996.ICU,2019-03-26T07:31:14Z,2022-08-25T12:57:50Z,0,,1063,0,0
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2022-08-25T14:37:02Z,0,,4492,730,703
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2022-08-25T14:34:31Z,0,,315,343,306
sindresorhus/awesome,2014-07-11T13:42:37Z,2022-08-25T14:36:56Z,0,,591,311,290
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2022-08-25T14:36:40Z,0,TypeScript,517,635,537
public-apis/public-apis,2016-03-20T23:49:42Z,2022-08-25T14:27:04Z,0,Python,1870,398,396
vuejs/vue,2013-07-29T03:24:51Z,2022-08-25T14:28:57Z,241,TypeScript,1100,9855,9524
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2022-08-25T14:21:56Z,0,Python,193,231,67
facebook/react,2013-05-24T16:15:54Z,2022-08-25T14:33:00Z,99,JavaScript,8427,11666,10892
tensorflow/tensorflow,2015-11-07T01:19:20Z,2022-08-25T14:07:17Z,172,C++,15001,35416,33301
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2022-08-25T14:25:00Z,0,,91,517,345
twbs/bootstrap,2011-07-29T21:19:00Z,2022-08-25T14:15:26Z,79,JavaScript,7783,21457,21183
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2022-08-25T14:11:29Z,0,,354,902,820
CyC2018/CS-Notes,2018-02-13T14:56:24Z,2022-08-25T14:00:38Z,0,,375,552,438
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2022-08-25T14:36:13Z,0,Shell,2706,4244,4017
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2022-08-25T14:33:59Z,0,JavaScript,267,292,190
flutter/flutter,2015-03-06T22:54:58Z,2022-08-25T13:09:50Z,0,Dart,26782,72255,61384
TheAlgorithms/Python,2016-07-16T09:44:01Z,2022-08-25T14:00:45Z,0,Python,1870,1057,1029
vinta/awesome-python,2014-06-27T21:00:06Z,2022-08-25T14:37:31Z,0,Python,527,381,357
github/gitignore,2010-11-08T20:17:14Z,2022-08-25T14:09:10Z,0,,1522,0,0
torvalds/linux,2011-09-04T22:48:12Z,2022-08-25T14:11:30Z,0,C,9,0,0
microsoft/vscode,2015-09-03T20:23:38Z,2022-08-25T14:25:05Z,77,TypeScript,11199,140350,133178
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2022-08-25T12:49:06Z,0,Java,706,815,751
airbnb/javascript,2012-11-01T23:13:50Z,2022-08-25T14:16:32Z,0,JavaScript,780,1183,1095
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2022-08-25T14:24:38Z,0,Python,12,572,94
ossu/computer-science,2014-05-04T00:18:39Z,2022-08-25T14:29:39Z,0,,221,575,568
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2022-08-25T14:21:20Z,341,Python,1571,25145,21283
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2022-08-25T13:20:04Z,1,Markdown,207,483,314
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2022-08-25T14:22:05Z,0,,304,209,116
facebook/react-native,2015-01-09T18:10:16Z,2022-08-25T14:37:17Z,210,JavaScript,646,23080,21181
electron/electron,2013-04-12T01:47:36Z,2022-08-25T14:05:17Z,1036,C++,15497,17356,15761
golang/go,2014-08-19T04:33:40Z,2022-08-25T14:29:23Z,0,Go,1,51635,44067
d3/d3,2010-09-27T17:22:42Z,2022-08-25T14:33:51Z,186,JavaScript,439,2111,2108
30-seconds/30-seconds-of-code,2017-11-29T17:35:03Z,2022-08-25T14:14:45Z,4,JavaScript,752,277,277
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2022-08-25T14:34:24Z,0,JavaScript,1908,712,635
facebook/create-react-app,2016-07-17T14:55:11Z,2022-08-25T14:07:03Z,83,JavaScript,1941,7830,6414
axios/axios,2014-08-18T22:30:27Z,2022-08-25T14:03:27Z,39,JavaScript,578,3752,3609
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,2022-08-25T13:51:18Z,3,,280,0,0
vercel/next.js,2016-10-05T23:32:51Z,2022-08-25T14:30:12Z,1530,JavaScript,9741,13410,12310
kubernetes/kubernetes,2014-06-06T22:56:04Z,2022-08-25T13:58:45Z,550,Go,52297,41443,39814
nodejs/node,2014-11-26T19:57:11Z,2022-08-25T14:27:35Z,303,JavaScript,4690,14913,13616
avelino/awesome-go,2014-07-06T13:42:15Z,2022-08-25T14:34:27Z,0,Go,2794,464,452
microsoft/terminal,2017-08-11T18:38:22Z,2022-08-25T14:07:14Z,80,C++,2820,10363,8916
denoland/deno,2018-05-15T01:34:26Z,2022-08-25T14:30:49Z,190,Rust,6810,6332,5425
mrdoob/three.js,2010-03-23T18:58:01Z,2022-08-25T14:16:19Z,135,JavaScript,9937,11272,10918
microsoft/TypeScript,2014-06-17T15:28:39Z,2022-08-25T14:16:10Z,161,TypeScript,12082,34566,29070
angular/angular,2014-09-18T16:12:01Z,2022-08-25T12:56:59Z,196,TypeScript,3183,24274,23167
ant-design/ant-design,2015-04-24T15:37:24Z,2022-08-25T13:53:50Z,500,TypeScript,9122,24504,23675
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2022-08-25T14:27:11Z,0,JavaScript,736,298,279
mui/material-ui,2014-08-18T19:11:54Z,2022-08-25T14:34:21Z,370,JavaScript,13977,16256,15198
puppeteer/puppeteer,2017-05-09T22:16:13Z,2022-08-25T14:34:01Z,116,TypeScript,2598,5487,5156
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2022-08-25T14:36:25Z,49,Vue,313,3446,2315
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2022-08-25T14:20:51Z,0,JavaScript,180,58,46
microsoft/PowerToys,2019-05-01T17:44:02Z,2022-08-25T14:27:26Z,66,C#,3383,16224,13276
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2022-08-25T13:15:01Z,0,Java,848,699,477
